"seller_id","seller_type","name","domain","contact_email","contact_address","version","seller_json_source"
"8302","PUBLISHER","<U+5546><U+7528><U+30C6><U+30B9><U+30C8><U+5A92><U+4F53>","mediba.jp","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8303","PUBLISHER","<U+682A><U+5F0F><U+4F1A><U+793E><U+30BD><U+30B7><U+30AA><U+30B3><U+30FC><U+30DD><U+30EC><U+30FC><U+30B7><U+30E7><U+30F3>",NA,"adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8304","PUBLISHER","<U+682A><U+5F0F><U+4F1A><U+793E><U+30B7><U+30FC><U+30A2><U+30F3><U+30C9><U+30B7><U+30FC><U+30EF><U+30FC><U+30AF><U+30B9>","candcworks.com","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8305","PUBLISHER","<U+65E5><U+672C><U+30A8><U+30F3><U+30BF><U+30FC><U+30D7><U+30E9><U+30A4><U+30BA><U+682A><U+5F0F><U+4F1A><U+793E>","www.nihon-e.co.jp","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8306","PUBLISHER","KDDI<U+682A><U+5F0F><U+4F1A><U+793E>(<U+7D14><U+5E83>)",NA,"adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8307","PUBLISHER","KDDI<U+682A><U+5F0F><U+4F1A><U+793E>(<U+30E2><U+30D0><U+30A4><U+30EB>QQ)",NA,"adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8308","PUBLISHER","<U+904B><U+7528><U+30C1><U+30FC><U+30E0><U+30C6><U+30B9><U+30C8><U+3084><U+4F5C><U+696D><U+7528>",NA,"adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8310","PUBLISHER","<U+682A><U+5F0F><U+4F1A><U+793E><U+30EA><U+30C7><U+30A3><U+30F3><U+30AF>","re-dinc.co.jp","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8311","PUBLISHER","<U+682A><U+5F0F><U+4F1A><U+793E><U+30A2><U+30C9><U+30D0><U+30F3>","ad-van.co.jp","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8312","INTERMEDIARY","<U+682A><U+5F0F><U+4F1A><U+793E>ADFULLY","www.adfully.jp","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8313","PUBLISHER","<U+30A2><U+30AF><U+30C8><U+30A4><U+30F3><U+30C7><U+30A3><U+682A><U+5F0F><U+4F1A><U+793E>","actindi.net","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8314","PUBLISHER","PNG Office",NA,"adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8315","PUBLISHER","<U+697D><U+5929><U+682A><U+5F0F><U+4F1A><U+793E>","www.rakuten.co.jp","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8316","PUBLISHER","GMO<U+30E1><U+30C7><U+30A3><U+30A2><U+682A><U+5F0F><U+4F1A><U+793E>","www.gmo-media.jp","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8319","PUBLISHER","<U+682A><U+5F0F><U+4F1A><U+793E><U+30DE><U+30A4><U+30CA><U+30D3>","www.mynavi.jp","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8320","PUBLISHER","<U+30E2><U+30FC><U+30B7><U+30E7><U+30F3><U+30DD><U+30FC><U+30C8><U+30EC><U+30FC><U+30C8><U+682A><U+5F0F><U+4F1A><U+793E>","www.motionportrait.com","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
"8321","PUBLISHER","<U+682A><U+5F0F><U+4F1A><U+793E><U+30A2><U+30AF><U+30ED><U+30C7><U+30A3><U+30A2>","www.acrodea.co.jp","adg-info@supership.jp","Tatsumura Aoyama Bldg. 5-4-35 Minami-Aoyama, Minato-ku, Tokyo 107-0062","1.0","ad-generation.jp"
