"seller_id","name","domain","seller_type","contact_email","contact_address","version","seller_json_source"
"1488470","The Moneytizer","themoneytizer.com/","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1047825","Ezoic Inc","ezoic.com/","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1167626","Rtbdemand Pte Ltd","rtbdemand.com/","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"3153","Monet Engine Inc.","appmonet.com","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1531291","Publishers Revenue Optimization Sp. z o.o.","optad360.com","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1557205","BILLIONS TRADING., JSC","valueimpression.com","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1400200","AdPushup, Inc","adpushup.com","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1221896","AdPushup, Inc","adpushup.com","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1416650","Online Media Solutions Ltd.","brightcom.com","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1208085","Titan Gate AD","pubgalaxy.com","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1168684","GG Software LLC","ggsoftwareas.com/","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1570435","Moneytag","moneytag.fr/","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1232399","Adnet Media","adnetmedia.lt/","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"923972","Flixxy Inc","rtk.io/","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1434088","X8MEDIA, JSC","bidgear.com","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1264551","Datawrkz Inc.","datawrkz.com","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1515292","Spolecznosci Sp. z o.o. ","spolecznosci.pl/","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"915531","Carambola Media Ltd.","carambola.com/","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"3153","Monet Engine Inc.","appmonet.com","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1518891","adtelligent Inc.","adtelligent.com","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1424069","Saambaa LLC","saambaa.com/","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1527798","Esell Solutions LTD","monetizemore.com/","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1255791","West Seven Media","westseven.media","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1576267","El Cronista Comercial S.A.","cronista.com","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1571160","BILLIONS TRADING., JSC","valueimpression.com","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1183090","Teaching Aids, LLC","admetricspro.com","INTERMEDIARY","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"1548356","Fulllab Group","fulllab.com.br/","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
"983529","Mad Ads Media LP","madadsmedia.com/","PUBLISHER","info@152media.com"," 5724 Highway 280 East, Birmingham, AL","1.0","152media.com"
