"seller_id","directness","is_confidential","contact_email","contact_address","version","seller_json_source"
"c21bed8c-97c8-4a5e-b472-278b549d0e50","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"5a74ea9b-7a5c-489f-926e-50010b4475d2","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"58794ab7-092a-4497-9581-e37a039398c1","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"c0505dc2-8f67-4498-82ff-dd5636724c9c","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"c5d8c06f-0422-4a53-8992-dfe2e7940a7e","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"c5beae8d-c4dd-49b7-b3b3-000a41485678","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"ac9d281e-9113-496e-8b17-b1f2266a7725","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"5bc7449d-0074-49df-a22e-561d6de53121","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"c9b3eec8-fe0a-487f-84e6-980cc6e033fe","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"e8986b8a-05a3-4df6-9311-2a51aef26c15","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"13c37980-7124-49b2-b484-7d6d8edb6446","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"ed7ada75-1ada-4363-978b-e923118343b6","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
"7abb6cdd-5ce6-47b3-8aea-a5d04e427fcb","DIRECT",1,"contact@admix.in","Wam Group Ltd t/a Admix, Albert House, 256 Old Street, EC1V 9DD, London, United Kingdom",1,"admix.in"
