"seller_id","seller_type","name","domain","contact_email","contact_address","version","seller_json_source"
15001,"PUBLISHER","Webtoon Entertainment Inc.","www.webtoons.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15002,"INTERMIDIATE","Handcent","www.handcent.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15003,"INTERMIDIATE","Fugo Games","www.fugo.com.tr","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15004,"INTERMIDIATE","KG Media","www.tribunnews.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15005,"INTERMIDIATE","Almaany","almaany.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15006,"INTERMIDIATE","bola.com Kapanlagi Youniverse","bola.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15007,"INTERMIDIATE","bola.net Kapanlagi Youniverse","bola.net","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15008,"INTERMIDIATE","Dailyhunt","dailyhunt.in","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15009,"INTERMIDIATE","dream.co.id Kapanlagi Youniverse","dream.co.id","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15010,"INTERMIDIATE","Elconsolto","elconsolto.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15011,"INTERMIDIATE","fimela.com Kapanlagi Youniverse","fimela.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15012,"INTERMIDIATE","kapanlagi.com Kapanlagi Youniverse","Kapanlagi Youniverse","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15013,"INTERMIDIATE","KG Media","kompas.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15014,"INTERMIDIATE","liputan6.com Kapanlagi Youniverse","liputan6.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15015,"INTERMIDIATE","merdeka.com Kapanlagi Youniverse","merdeka.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15016,"INTERMIDIATE","otosia.com Kapanlagi Youniverse","otosia.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15017,"INTERMIDIATE","sooperboy.com Kapanlagi Youniverse","sooperboy.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15018,"INTERMIDIATE","techno.id Kapanlagi Youniverse","techno.id","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15019,"INTERMIDIATE","Veto Gate","vetogate.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15020,"INTERMIDIATE","Gemini Media","yallakora.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15021,"PUBLISHER","Lark Player Mobiuspace","www.mobiuspace.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15022,"PUBLISHER","Snaptube Mobiuspace","www.mobiuspace.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
15023,"INTERMIDIATE","UC Web Inc.","ucweb.com","partner@adelement.com","AdElement Inc, 317 George Street, 3rd Floor, New Brunswick, New Jersey, 08901","1.0","adelement.com"
