"seller_id","name","domain","seller_type","contact_email","contact_address","version","seller_json_source"
"1004","20 Minutes - Ouest France Additi","precom.fr","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1008","L'Etudiant","letudiant.fr","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1011","Publihebdos","publihebdos.com","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1012","Melty","melty.fr","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1013","Adthink","adthink.com","BOTH","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1014","Le Point","lepoint.fr","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1015","The Moneytizer","themoneytizer.com","INTERMEDIARY","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1017","Moneytag","moneytag.fr","BOTH","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1020","Adverline","theplacetobid.fr","BOTH","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1021","GMC","marieclaire.fr","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1023","Yieldlove","yieldlove.com","INTERMEDIARY","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1024","Groupe Cerise","groupecerise.fr","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1025","Groupe Sud Ouest","sudouest.fr","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1026","Planet Media","planetmedia.fr","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1029","Culture G","cultureg.eu","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1030","Cambium Media","cambium-media.com","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1031","Waytogrow","waytogrow.eu","BOTH","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1033","Mediology Software","mediologysoftware.com","INTERMEDIARY","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1034","Adnet Media","adnetmedia.lt","INTERMEDIARY","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1035","Drive Media","drivemedia.fr","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1036","E-Borealis","e-borealis.com","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1037","Eurosport","eurosport.fr","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1038","Ad.MySports","admysports.com","INTERMEDIARY","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1039","EADV S.R.L","eadv.it","PUBLISHER","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1040","Adlive","adlive.io","INTERMEDIARY","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1041","Trade House Media","tradehouse.media","INTERMEDIARY","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1042","Limpid Technologies Pte. Ltd.","limpid.tv","INTERMEDIARY","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
"1045","WebAds Srl.","webads.it","INTERMEDIARY","contact@adagio.io","450 Rue Baden Powell 34000 Montpellier - France","1.0","adagio.io"
