"seller_id","name","domain","seller_type","contact_email","contact_address","version","seller_json_source"
"0013300001guYFVAA2","AdNika AB","Hamgardi.com","INTERMEDIARY","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001rahWRAAY","J Carter Marketing, Inc.","adfrontiers.com","INTERMEDIARY","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001ehumFAAQ","Monumetric LLC","monumetric.com","INTERMEDIARY","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0014000001YrMqIAAV","WagBrag LLC","wagbrag.com","BOTH","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001hlFlwAAE","CBSi EMEA","cbsinteractive.com","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0010b000018lP4GAAU","Navio.tv, Inc.","navio.tv","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0014000001b01WyAAI","PINKVILLA LLC","pinkvilla.com","BOTH","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001f58viAAA","AUDIENCE DRIVE","audiencedrive.com","BOTH","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0014000001ZWebaAAD","AdSparc","adsparc.com","BOTH","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0014000001PCRlCAAX","Pleroma Media","pleromamedia.com","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0014000001YrMpvAAF","Topix","topix.com","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0010b00001siSEIAA2","Mice and Pen Inc.","miceandpen.com","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0010b00001rrqoVAAQ","HistoryNet, LLC","historynet.com","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001efsPEAAY","Valnet Inc.","valnetinc.com","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0014000001MtJITAA3","Bonnier Corporation","bonniercorp.com","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001qFpAmAAK","Imonomy Interactive Ltd.","imonomy.com","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001h9t8tAAA","Olympia Media Group","theodysseyonline.com","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0014000000xvEfwAAE","Mediavine Inc.","mediavine.com","INTERMEDIARY","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001p9EZTAA2","MTI USA Inc","bitlanders.com","PUBLISHER","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0010b00001rsE61AAE","yieldpeak","yieldpeak.com","INTERMEDIARY","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001baGj9AAE","The Carpenter Group LLC","spartannation.com","INTERMEDIARY","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001fpJHQAA2","FHT Media Holding, LLC","womanista.com","BOTH","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
"0013300001cGJmKAAW","Liberty Alliance, LLC","westernjournal.com","BOTH","contactus@33across.com","33Across, 229 West 28th Street, 12th Fl, New York, NY 10001","1.0","33across.com"
