"seller_id","name","domain","seller_type","contact_email","contact_address","version","seller_json_source"
3785,"f319","f319.com","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"vneconomy","vneconomy.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"cafef","cafef.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"cafebiz","cafebiz.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"soha","soha.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"gamek","gamek.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"ttvnol","ttvnol.com","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"afamily","afamily.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"autopro","autopro.com.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"kenh14","kenh14.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"genk","genk.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"giadinh","giadinh.net.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
3785,"dantri","dantri.com.vn","PUBLISHER","contact@admicro.vn","20 Floor, Center Building Hapulico Complex Towner, No.1 Nguy<U+1EC5>n Huy Tu<U+1EDF>ng, Thanh Xuân, Hà N<U+1ED9>i","1.0","admicro.vn"
